Datetime,LATITUDE,LONGITUDE,10uheightAboveGround_10,10vheightAboveGround_10,2rheightAboveGround_2,2shheightAboveGround_2,2theightAboveGround_2,SUNSDsurface_0,aptmpheightAboveGround_2,dlwrfsurface_0,dswrfsurface_0,gustsurface_0,msletmeanSea_0,presheightAboveGround_80,pwatatmosphereSingleLayer_0,qheightAboveGround_80,spsurface_0,tccatmosphere_0,theightAboveGround_80,tmaxheightAboveGround_2,tminheightAboveGround_2,tozneatmosphereSingleLayer_0,tpsurface_0,tsurface_0,uheightAboveGround_80,vheightAboveGround_80,hour,dayofweek,KWH_ENERGIA
2024-09-01 00:00:00,40.0,-4.0,-1.0089697265625,1.171298828125,52.1,0.011780882792663577,299.468310546875,2700.0,299.4450927734375,387.123291015625,6.448,1.5057884398847818,101099.82500000001,94266.14375,32.42608825683594,0.01129691749511719,95120.959375,100.0,300.11005859375,301.890185546875,299.43662109375003,300.92003173828124,0.0,297.92784423828124,-1.18162841796875,1.659375,0,6,0.023496933202163818
2024-09-01 01:00:00,40.0,-4.0,-1.816669921875,2.3122412109375,52.7,0.011742399094238283,299.16831054687503,2700.0,299.1817260742188,387.6048828125,5.152,3.0001342773437503,101093.18125000001,94248.38750000001,31.55163681640625,0.011425386240234377,95102.921875,100.0,299.70048828125,301.84506835937503,299.15354003906253,300.1502197265625,0.0,297.53529052734376,-2.3431689453125,3.52731201171875,1,6,0.023496933202163818
2024-09-01 02:00:00,40.0,-4.0,-2.87714599609375,0.2129248046875,57.300000000000004,0.011819082577209475,297.8861328125,2700.0,297.9121826171875,384.95562744140625,4.288,3.7093017578125003,101113.675,94248.71250000001,32.935657104492186,0.011550766295166017,95107.828125,100.0,298.63339843750003,301.890185546875,297.86337890625003,298.9931274414063,0.1875,296.33662109375,-4.1669970703125,1.9096948242187501,2,6,0.02254416203243003
2024-09-01 03:00:00,40.0,-4.0,-1.166337890625,-1.19864990234375,68.9,0.012476466995849611,295.81220703125,0.0,295.85858154296875,378.66337890625005,0.0,2.10667724609375,101170.46875,94271.75937500001,35.691185961914066,0.012323761992187503,95137.55625000001,100.0,296.19208984375,296.548828125,295.7705322265625,299.73134765625,0.375,295.90000000000003,-2.3645703125,-1.1485986328125,3,6,-0.02333984787298878
2024-09-01 04:00:00,40.0,-4.0,-1.01611572265625,-1.3288940429687501,73.10000000000001,0.012696543623352053,295.068310546875,0.0,295.07318115234375,374.763427734375,0.0,2.021576291322708,101173.90625,94263.21250000001,36.46799538574219,0.01254604197143555,95132.55,100.0,295.346640625,296.580517578125,295.1021240234375,298.6601196289063,0.8125,295.15097656250003,-2.289638671875,-1.4480957031250001,4,6,0.0164858838764135
2024-09-01 05:00:00,40.0,-4.0,-0.91007080078125,-1.3900927734375,75.10000000000001,0.012948921758117678,294.96337890625,0.0,294.99362792968753,372.0,0.0,2.008296922594309,101133.58750000001,94222.37187500001,35.70488578491211,0.01268732239746094,95090.55625000001,56.900000000000006,294.88111328125,296.6072509765625,294.6021240234375,297.1913208007813,1.125,294.83172607421875,-1.7845922851562501,-1.4761376953125,5,6,-0.04535800955076114
2024-09-01 06:00:00,40.0,-4.0,-0.045087890625,-1.11242919921875,75.8,0.012999024592285158,294.8280517578125,0.0,294.85446777343753,370.04150390625,0.0,1.1035127639770508,101148.58125,94231.84062500001,35.800262091064454,0.012674806944580081,95101.35625000001,86.10000000000001,294.76435546875,296.5528076171875,294.6021240234375,296.80026855468753,1.125,294.41217041015625,-0.4231396484375,-1.1202148437500001,6,6,-0.06123961071452241
2024-09-01 07:00:00,40.0,-4.0,0.10697998046875,-1.1202490234375,76.4,0.01292566910247803,294.7182861328125,0.0,294.7241455078125,368.7438049316406,0.0,1.1224281325936318,101189.33750000001,94266.01250000001,35.40856988525391,0.012627579040527345,95135.35312500001,45.1,294.60744140625,296.60727539062503,294.6021240234375,297.34300537109374,1.125,294.1683349609375,0.00084228515625,-1.1285766601562501,7,6,-0.04406827568934818
2024-09-01 08:00:00,40.0,-4.0,0.05234619140625,-1.04609619140625,76.2,0.012870196151428225,294.6243896484375,718.0,294.6,368.77189941406255,0.192,1.119989013671875,101241.70000000001,94312.40000000001,35.09284768676758,0.012564718598632814,95182.09375,86.4,294.4378125,296.554443359375,294.5021240234375,297.2953735351563,1.1875,294.390185546875,-0.0129296875,-1.05776123046875,8,6,0.48466019354161716
2024-09-01 09:00:00,40.0,-4.0,0.17353759765625001,-1.48678466796875,71.8,0.01269879400482178,295.40366210937503,3557.6000000000004,295.4065185546875,401.0129089355469,33.24,1.6151672378182411,101273.425,94349.578125,35.19647493286133,0.012551725219726565,95218.05,100.0,294.54126953125,295.40366210937503,294.936572265625,298.427783203125,0.0,296.5,0.1562353515625,-1.63009033203125,9,6,3.2379917450350075
2024-09-01 10:00:00,40.0,-4.0,-0.41566650390625,-0.9027685546875001,69.3,0.012584223746948245,295.9170654296875,7157.6,295.8548828125,405.6472473144531,44.22,1.1003417968982832,101269.2875,94364.784375,34.37989818115234,0.012473287492675783,95234.959375,89.2,294.94064453125003,295.9170654296875,294.936572265625,298.0788940429688,0.0,297.34982910156253,-0.501142578125,-1.01459228515625,10,6,14.74602106295664
2024-09-01 11:00:00,40.0,-4.0,0.56619140625,-0.5543994140625,64.2,0.012524007224121097,296.9996337890625,10758.0,297.0054565429688,402.887890625,132.78,1.0124877393245697,101290.5375,94409.190625,34.83424397583008,0.012418763291015628,95276.65625,21.9,295.928515625,296.9996337890625,294.936572265625,299.0873168945313,0.0,304.1127197265625,0.618330078125,-0.62187744140625,11,6,9.505886718803355
2024-09-01 12:00:00,40.0,-4.0,0.834384765625,-0.19959716796875002,58.5,0.012393219028320315,298.306640625,14358.0,298.295068359375,399.087890625,236.704,1.1044606298208237,101254.375,94404.54375000001,34.64019530029297,0.012257235754394533,95267.77500000001,100.0,297.08912109375,298.306640625,294.936572265625,299.1029907226563,0.0,310.78171386718753,0.8294140625,-0.23329101562500001,12,6,25.36135013956134
2024-09-01 13:00:00,40.0,-4.0,2.00913818359375,0.190185546875,55.2,0.012205882044677737,299.06992187500003,17958.0,299.11057128906253,405.54534912109375,254.448,2.1201574325561525,101199.40625,94376.75,33.47525040893555,0.012032643442382815,95238.859375,98.7,297.748984375,299.0829345703125,294.936572265625,298.5000244140625,0.0,306.00974121093753,2.0603369140625,0.20855224609375,13,6,30.947151856056117
2024-09-01 14:00:00,40.0,-4.0,2.52479736328125,0.23727294921875,46.800000000000004,0.011461233056640627,300.805419921875,21558.0,300.97705078125,402.2255065917969,345.872,3.0047499235719446,101114.7375,94325.59375,32.80713712158203,0.011214228234863283,95182.19375,92.9,299.07408203125,300.78171386718753,294.936572265625,298.7186767578125,0.0,315.063427734375,2.6422241210937503,0.23138427734375,14,6,63.29304757707189
