Datetime,KWH_ENERGIA
2024-09-01 00:00:00,-0.000114317605
2024-09-01 01:00:00,-0.000114317605
2024-09-01 02:00:00,-0.000114317605
2024-09-01 03:00:00,-0.000114317605
2024-09-01 04:00:00,-0.000114317605
2024-09-01 05:00:00,-0.000114317605
2024-09-01 06:00:00,-0.000114317605
2024-09-01 07:00:00,-0.000114317605
2024-09-01 08:00:00,0.08901804
2024-09-01 09:00:00,5.419895
2024-09-01 10:00:00,12.576813
2024-09-01 11:00:00,16.989124
2024-09-01 12:00:00,15.456538
2024-09-01 13:00:00,14.576227
2024-09-01 14:00:00,15.336582
2024-09-01 15:00:00,22.988188
2024-09-01 16:00:00,22.95713
2024-09-01 17:00:00,22.34933
2024-09-01 18:00:00,21.982784
2024-09-01 19:00:00,20.15579
2024-09-01 20:00:00,14.240131
2024-09-01 21:00:00,0.5493723
2024-09-01 22:00:00,-0.000114317605
2024-09-01 23:00:00,-0.000114317605
2024-09-02 00:00:00,-0.000114317605
2024-09-02 01:00:00,-0.000114317605
2024-09-02 02:00:00,-0.000114317605
2024-09-02 03:00:00,-0.000114317605
2024-09-02 04:00:00,-0.000114317605
2024-09-02 05:00:00,-0.000114317605
2024-09-02 06:00:00,-0.000114317605
2024-09-02 07:00:00,-0.000114317605
2024-09-02 08:00:00,0.29482335
2024-09-02 09:00:00,7.6333513
2024-09-02 10:00:00,38.22162
2024-09-02 11:00:00,71.21249
2024-09-02 12:00:00,103.65067
2024-09-02 13:00:00,115.9834
2024-09-02 14:00:00,120.11265
2024-09-02 15:00:00,119.4983
2024-09-02 16:00:00,109.800575
2024-09-02 17:00:00,99.09026
2024-09-02 18:00:00,84.91271
2024-09-02 19:00:00,53.04744
2024-09-02 20:00:00,25.79947
2024-09-02 21:00:00,0.06220124
2024-09-02 22:00:00,-0.000114317605
2024-09-02 23:00:00,-0.000114317605
2024-09-03 00:00:00,-0.000114317605
2024-09-03 01:00:00,-0.000114317605
2024-09-03 02:00:00,-0.000114317605
2024-09-03 03:00:00,-0.000114317605
2024-09-03 04:00:00,-0.000114317605
2024-09-03 05:00:00,-0.000114317605
2024-09-03 06:00:00,-0.000114317605
2024-09-03 07:00:00,-0.000114317605
2024-09-03 08:00:00,0.13883533
2024-09-03 09:00:00,6.1017637
2024-09-03 10:00:00,36.772022
2024-09-03 11:00:00,71.07968
2024-09-03 12:00:00,106.60148
2024-09-03 13:00:00,115.0485
2024-09-03 14:00:00,120.58166
2024-09-03 15:00:00,116.39012
2024-09-03 16:00:00,101.73966
2024-09-03 17:00:00,91.014015
2024-09-03 18:00:00,76.57899
2024-09-03 19:00:00,42.916794
2024-09-03 20:00:00,21.996168
2024-09-03 21:00:00,0.15894684
2024-09-03 22:00:00,-0.000114317605
2024-09-03 23:00:00,-0.000114317605
2024-09-04 00:00:00,-0.000114317605
2024-09-04 01:00:00,-0.000114317605
